image_name,timestamp,total_detections,annotated_path,count_ship,count_large-vehicle,count_harbor,count_small-vehicle,count_storage-tank
2017-1.jpg,2025-11-30T21:37:55.906690,27,google_earth_tiled\Port_of_Salalah\2017\annotated\2017-1_annotated.jpg,15,4,2,1.0,5
2017-2.jpg,2025-11-30T21:37:58.015444,28,google_earth_tiled\Port_of_Salalah\2017\annotated\2017-2_annotated.jpg,12,9,3,,4
