image_name,timestamp,total_detections,annotated_path,count_harbor,count_ship,count_small-vehicle
2022-1.jpg,2025-11-30T21:36:31.019407,23,google_earth_full\Port_of_hongkong\2022\annotated\2022-1_annotated.jpg,5.0,18.0,
2022-2.jpg,2025-11-30T21:36:34.010305,1,google_earth_full\Port_of_hongkong\2022\annotated\2022-2_annotated.jpg,,,1.0
2022-3.jpg,2025-11-30T21:36:37.064550,4,google_earth_full\Port_of_hongkong\2022\annotated\2022-3_annotated.jpg,3.0,1.0,
