image_name,timestamp,total_detections,annotated_path,count_storage-tank,count_ship,count_harbor,count_large-vehicle
2022-1.jpg,2025-11-30T21:36:31.199868,50,google_earth_tiled\Port_of_hongkong\2022\annotated\2022-1_annotated.jpg,2,39,8,1.0
2022-2.jpg,2025-11-30T21:36:34.304600,60,google_earth_tiled\Port_of_hongkong\2022\annotated\2022-2_annotated.jpg,6,43,9,2.0
2022-3.jpg,2025-11-30T21:36:37.316064,60,google_earth_tiled\Port_of_hongkong\2022\annotated\2022-3_annotated.jpg,4,48,8,
