image_name,timestamp,total_detections,annotated_path,count_ship,count_storage-tank,count_harbor,count_large-vehicle,count_small-vehicle
2021-2.jpg,2025-11-30T21:36:23.540929,68,google_earth_tiled\Port_of_hongkong\2021\annotated\2021-2_annotated.jpg,53,3,10,1.0,1.0
2021-3.jpg,2025-11-30T21:36:26.104434,73,google_earth_tiled\Port_of_hongkong\2021\annotated\2021-3_annotated.jpg,56,4,12,,1.0
2021-6.jpg,2025-11-30T21:36:28.658049,59,google_earth_tiled\Port_of_hongkong\2021\annotated\2021-6_annotated.jpg,44,3,12,,
