image_name,timestamp,total_detections,annotated_path,count_ship,count_large-vehicle,count_harbor,count_storage-tank,count_small-vehicle
2019-1.jpg,2025-11-30T21:38:11.254919,33,google_earth_tiled\Port_of_Salalah\2019\annotated\2019-1_annotated.jpg,16,9,3,5,
2019-3.jpg,2025-11-30T21:38:13.438924,31,google_earth_tiled\Port_of_Salalah\2019\annotated\2019-3_annotated.jpg,8,4,3,15,1.0
