epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11584,2.17016,4.66105,1.00113,0.4553,0.32048,0.28345,0.12441,1.96846,4.32037,0.97843,0.000643101,0.000643101,0.000643101
43,11846.9,2.161,4.60988,0.9986,0.30623,0.30872,0.27888,0.12159,1.98949,4.36858,0.98002,0.000628101,0.000628101,0.000628101
44,12111.7,2.15008,4.59353,0.99785,0.3275,0.30885,0.28,0.12505,1.97153,4.30442,0.98069,0.000612981,0.000612981,0.000612981
45,12374.9,2.15987,4.60365,0.99511,0.35271,0.34522,0.28763,0.12543,1.96901,4.32447,0.98131,0.000597754,0.000597754,0.000597754
46,12639.7,2.16215,4.6219,0.99687,0.31426,0.33279,0.27567,0.12051,1.97034,4.28127,0.97946,0.000582435,0.000582435,0.000582435
47,12921.2,2.14515,4.58012,0.99877,0.32332,0.34949,0.28738,0.12731,1.96963,4.34952,0.98189,0.00056704,0.00056704,0.00056704
48,13188,2.14152,4.59375,0.99569,0.35401,0.31184,0.28566,0.1267,1.96067,4.30643,0.97756,0.000551584,0.000551584,0.000551584
49,13454.1,2.13918,4.53295,0.9971,0.33765,0.36969,0.29242,0.1288,1.96165,4.2989,0.97804,0.000536081,0.000536081,0.000536081
50,13721.8,2.15397,4.60017,0.99655,0.32977,0.28842,0.28655,0.12543,1.95686,4.29509,0.97697,0.000520548,0.000520548,0.000520548
51,13988.9,2.14074,4.56481,0.99574,0.33768,0.36193,0.28804,0.12733,1.96155,4.31601,0.97634,0.000505,0.000505,0.000505
52,14259,2.13347,4.56716,0.99895,0.36123,0.34302,0.29305,0.129,1.96319,4.29181,0.9789,0.000489452,0.000489452,0.000489452
53,14527.7,2.14537,4.58417,0.9977,0.34509,0.31652,0.28159,0.1256,1.95796,4.32335,0.97705,0.000473919,0.000473919,0.000473919
54,14795.8,2.12555,4.54857,0.99148,0.40244,0.31572,0.28021,0.12356,1.96198,4.30824,0.97982,0.000458416,0.000458416,0.000458416
55,15064.6,2.1419,4.52588,0.99391,0.2988,0.33297,0.28421,0.12571,1.95922,4.29606,0.97664,0.00044296,0.00044296,0.00044296
56,15331.6,2.1382,4.50788,0.99498,0.3971,0.32135,0.2896,0.12695,1.95405,4.26868,0.9786,0.000427565,0.000427565,0.000427565
57,15598.6,2.1209,4.49712,0.99357,0.34996,0.33189,0.28533,0.1268,1.95122,4.26737,0.97595,0.000412246,0.000412246,0.000412246
58,15866,2.12621,4.5127,0.99209,0.32145,0.37033,0.29021,0.13007,1.94767,4.24418,0.97525,0.000397019,0.000397019,0.000397019
59,16133.4,2.12523,4.50651,0.99081,0.33353,0.35424,0.29656,0.13334,1.95039,4.26218,0.97322,0.000381899,0.000381899,0.000381899
60,16403.7,2.13371,4.5158,0.99462,0.37548,0.33239,0.29285,0.13025,1.94696,4.26122,0.97406,0.000366899,0.000366899,0.000366899
61,16669.7,2.11908,4.47314,0.9921,0.4709,0.31084,0.29925,0.13176,1.95198,4.25503,0.97566,0.000352037,0.000352037,0.000352037
62,16945,2.10743,4.46617,0.99286,0.34615,0.34239,0.29422,0.13142,1.94485,4.24297,0.97406,0.000337325,0.000337325,0.000337325
63,17221,2.11141,4.441,0.99054,0.35343,0.33497,0.2934,0.13224,1.93635,4.22579,0.97184,0.000322778,0.000322778,0.000322778
