image_name,timestamp,total_detections,annotated_path,count_ship,count_harbor,count_large-vehicle,count_storage-tank
2021-1.jpg,2025-11-30T21:37:34.208741,40,google_earth_tiled\Port_of_Tanjung_priok\2021\annotated\2021-1_annotated.jpg,26,12,1.0,1
2021-2.jpg,2025-11-30T21:37:36.530502,43,google_earth_tiled\Port_of_Tanjung_priok\2021\annotated\2021-2_annotated.jpg,32,10,,1
2021-3.jpg,2025-11-30T21:37:38.911687,50,google_earth_tiled\Port_of_Tanjung_priok\2021\annotated\2021-3_annotated.jpg,38,11,,1
