image_name,timestamp,total_detections,annotated_path,count_storage-tank,count_ship,count_harbor,count_small-vehicle,count_large-vehicle
2019-1.jpg,2025-11-30T21:34:16.388684,78,google_earth_tiled\Port_of_LA\2019\annotated\2019-1_annotated.jpg,16,42,19,1.0,
2019-2.jpg,2025-11-30T21:34:18.721027,79,google_earth_tiled\Port_of_LA\2019\annotated\2019-2_annotated.jpg,17,42,19,1.0,
2019-3.jpg,2025-11-30T21:34:21.079364,69,google_earth_tiled\Port_of_LA\2019\annotated\2019-3_annotated.jpg,24,34,8,,3.0
