year,total_images,total_detections,avg_detections_per_image,total_ship,total_harbor,total_large-vehicle,total_small-vehicle
2017,10,64,6.4,58,3.0,3.0,
2018,7,38,5.428571428571429,34,,3.0,1.0
2019,3,17,5.666666666666667,16,,,1.0
2020,12,137,11.416666666666666,136,1.0,,
2021,10,170,17.0,167,,3.0,
2022,11,184,16.727272727272727,183,1.0,,
2023,7,95,13.571428571428571,95,,,
2024,5,17,3.4,13,,,4.0
