image_name,timestamp,total_detections,annotated_path,count_ship,count_harbor,count_large-vehicle
2017-1.jpg,2025-11-30T21:33:59.893229,7,google_earth_full\Port_of_LA\2017\annotated\2017-1_annotated.jpg,7,,
2017-2.jpg,2025-11-30T21:34:02.459615,8,google_earth_full\Port_of_LA\2017\annotated\2017-2_annotated.jpg,7,1.0,
2017-3.jpg,2025-11-30T21:34:04.776818,6,google_earth_full\Port_of_LA\2017\annotated\2017-3_annotated.jpg,5,,1.0
2017-4.jpg,2025-11-30T21:34:07.205471,1,google_earth_full\Port_of_LA\2017\annotated\2017-4_annotated.jpg,1,,
