location,year,total_detections,valid_tiles,skipped_tiles,avg_detections_per_tile
Port_of_Rotterdam,2018,138,144,0,0.9583333333333334
Port_of_Salalah,2018,2,31,113,0.06451612903225806
Port_of_Savannah,2018,73,141,3,0.5177304964539007
Port_of_Shanghai,2018,71,89,55,0.797752808988764
Port_of_Singapore,2018,80,144,0,0.5555555555555556
Port_of_Valencia,2018,39,59,85,0.6610169491525424
Pune_Hinjawadi,2018,0,144,0,0.0
Sao_Paulo,2018,0,49,95,0.0
Select_Citywalk,2018,0,144,0,0.0
Shenzhen_Electronics,2018,0,92,52,0.0
Suzhou_Industrial_Park,2018,3,144,0,0.020833333333333332
Tijuana_Manufacturing,2018,3,50,94,0.06
Tokyo,2018,1,141,3,0.0070921985815602835
Trafford_Centre,2018,2,144,0,0.013888888888888888
Westfield_London,2018,1,142,2,0.007042253521126761
Beijing,2019,6,144,0,0.041666666666666664
Bluewater,2019,15,144,0,0.10416666666666667
Centro_Oberhausen,2019,3,144,0,0.020833333333333332
Chicago,2019,15,76,68,0.19736842105263158
Detroit_Auto,2019,0,132,12,0.0
Galeries_Lafayette,2019,4,105,39,0.0380952380952381
La_Maquinista,2019,0,104,40,0.0
London,2019,24,144,0,0.16666666666666666
Los_Angeles,2019,19,65,79,0.2923076923076923
Mall_of_Asia_Manila,2019,2,127,17,0.015748031496062992
Mumbai,2019,13,144,0,0.09027777777777778
New_York_City,2019,4,141,3,0.028368794326241134
Pacific_Mall_Delhi,2019,0,144,0,0.0
Paris,2019,4,105,39,0.0380952380952381
Port_of_Antwerp,2019,74,144,0,0.5138888888888888
Port_of_Busan,2019,67,57,87,1.1754385964912282
Port_of_Durban,2019,22,45,99,0.4888888888888889
Port_of_Hamburg,2019,148,143,1,1.034965034965035
Port_of_Hong_Kong,2019,32,30,114,1.0666666666666667
Port_of_Houston,2019,143,138,6,1.036231884057971
Port_of_Jebel_Ali,2019,414,141,3,2.9361702127659575
Port_of_Lagos,2019,43,144,0,0.2986111111111111
Port_of_Long_Beach,2019,64,65,79,0.9846153846153847
Port_of_Los_Angeles,2019,64,65,79,0.9846153846153847
Port_of_Mombasa,2019,20,143,1,0.13986013986013987
Port_of_New_York_New_Jersey,2019,40,111,33,0.36036036036036034
Port_of_Ningbo,2019,93,111,33,0.8378378378378378
Port_of_Rotterdam,2019,135,144,0,0.9375
Port_of_Salalah,2019,7,33,111,0.21212121212121213
Port_of_Savannah,2019,104,137,7,0.7591240875912408
Port_of_Shanghai,2019,114,140,4,0.8142857142857143
Port_of_Singapore,2019,43,144,0,0.2986111111111111
Port_of_Valencia,2019,75,46,98,1.6304347826086956
Pune_Hinjawadi,2019,0,144,0,0.0
Sao_Paulo,2019,1,144,0,0.006944444444444444
Select_Citywalk,2019,1,144,0,0.006944444444444444
Shenzhen_Electronics,2019,5,30,114,0.16666666666666666
Suzhou_Industrial_Park,2019,2,144,0,0.013888888888888888
Tijuana_Manufacturing,2019,3,23,121,0.13043478260869565
Tokyo,2019,2,107,37,0.018691588785046728
Trafford_Centre,2019,0,142,2,0.0
Westfield_London,2019,24,144,0,0.16666666666666666
Beijing,2020,0,144,0,0.0
Bluewater,2020,21,134,10,0.15671641791044777
Centro_Oberhausen,2020,1,141,3,0.0070921985815602835
Chicago,2020,12,81,63,0.14814814814814814
Detroit_Auto,2020,9,50,94,0.18
Galeries_Lafayette,2020,0,107,37,0.0
Johannesburg,2020,4,144,0,0.027777777777777776
La_Maquinista,2020,2,135,9,0.014814814814814815
London,2020,24,142,2,0.16901408450704225
Los_Angeles,2020,22,64,80,0.34375
Mall_of_Asia_Manila,2020,2,137,7,0.014598540145985401
Mumbai,2020,3,144,0,0.020833333333333332
New_York_City,2020,6,113,31,0.05309734513274336
