image_name,timestamp,total_detections,annotated_path,count_ship,count_storage-tank
2017-1.jpg,2025-11-30T21:18:20.938901,9,google_earth\Port_of_Salalah\2017\annotated\2017-1_annotated.jpg,7,2
2017-2.jpg,2025-11-30T21:18:21.427762,5,google_earth\Port_of_Salalah\2017\annotated\2017-2_annotated.jpg,3,2
