image_name,timestamp,total_detections,annotated_path,count_ship,count_harbor,count_small-vehicle
2020-1.jpg,2025-11-30T21:17:53.847587,18,google_earth\Port_of_hongkong\2020\annotated\2020-1_annotated.jpg,14.0,2.0,2.0
2020-2.jpg,2025-11-30T21:17:54.554343,5,google_earth\Port_of_hongkong\2020\annotated\2020-2_annotated.jpg,3.0,2.0,
2020-3.jpg,2025-11-30T21:17:55.200469,5,google_earth\Port_of_hongkong\2020\annotated\2020-3_annotated.jpg,3.0,2.0,
2020-4.jpg,2025-11-30T21:17:55.931058,0,google_earth\Port_of_hongkong\2020\annotated\2020-4_annotated.jpg,,,
2020-5.jpg,2025-11-30T21:17:56.503993,19,google_earth\Port_of_hongkong\2020\annotated\2020-5_annotated.jpg,16.0,3.0,
2020-6.jpg,2025-11-30T21:17:57.062569,17,google_earth\Port_of_hongkong\2020\annotated\2020-6_annotated.jpg,15.0,2.0,
