image_name,timestamp,total_detections,annotated_path,count_ship,count_small-vehicle
2019-1.jpg,2025-11-30T21:17:29.966414,8,google_earth\Port_of_LA\2019\annotated\2019-1_annotated.jpg,8,
2019-2.jpg,2025-11-30T21:17:30.506258,7,google_earth\Port_of_LA\2019\annotated\2019-2_annotated.jpg,7,
2019-3.jpg,2025-11-30T21:17:31.013985,2,google_earth\Port_of_LA\2019\annotated\2019-3_annotated.jpg,1,1.0
