location,year,total_detections,valid_tiles,skipped_tiles,avg_detections_per_tile
Port_of_Busan,2018,54,106,38,0.5094339622641509
Port_of_Durban,2018,57,144,0,0.3958333333333333
Port_of_Hamburg,2018,45,141,3,0.3191489361702128
Port_of_Hong_Kong,2018,49,82,62,0.5975609756097561
Port_of_Houston,2018,136,138,6,0.9855072463768116
Port_of_Jebel_Ali,2018,440,143,1,3.076923076923077
Port_of_Lagos,2018,29,144,0,0.2013888888888889
Port_of_Long_Beach,2018,65,66,78,0.9848484848484848
Port_of_Los_Angeles,2018,65,66,78,0.9848484848484848
Port_of_Mombasa,2018,41,144,0,0.2847222222222222
Port_of_New_York_New_Jersey,2018,78,107,37,0.7289719626168224
Port_of_Ningbo,2018,130,119,25,1.092436974789916
Port_of_Rotterdam,2018,138,144,0,0.9583333333333334
Port_of_Salalah,2018,2,31,113,0.064516129032258
Port_of_Savannah,2018,73,141,3,0.5177304964539007
Port_of_Shanghai,2018,71,89,55,0.797752808988764
Port_of_Singapore,2018,80,144,0,0.5555555555555556
Port_of_Valencia,2018,39,59,85,0.6610169491525424
Pune_Hinjawadi,2018,0,144,0,0.0
Sao_Paulo,2018,0,49,95,0.0
Select_Citywalk,2018,0,144,0,0.0
Shenzhen_Electronics,2018,0,92,52,0.0
Suzhou_Industrial_Park,2018,3,144,0,0.0208333333333333
Tijuana_Manufacturing,2018,3,50,94,0.06
Tokyo,2018,1,141,3,0.0070921985815602
Trafford_Centre,2018,2,144,0,0.0138888888888888
Westfield_London,2018,1,142,2,0.0070422535211267
Beijing,2019,6,144,0,0.0416666666666666
Bluewater,2019,15,144,0,0.1041666666666666
Centro_Oberhausen,2019,3,144,0,0.0208333333333333
Chicago,2019,15,76,68,0.1973684210526315
Detroit_Auto,2019,0,132,12,0.0
Galeries_Lafayette,2019,4,105,39,0.0380952380952381
La_Maquinista,2019,0,104,40,0.0
London,2019,24,144,0,0.1666666666666666
Los_Angeles,2019,19,65,79,0.2923076923076923
Mall_of_Asia_Manila,2019,2,127,17,0.0157480314960629
Mumbai,2019,13,144,0,0.0902777777777777
New_York_City,2019,4,141,3,0.0283687943262411
Pacific_Mall_Delhi,2019,0,144,0,0.0
Paris,2019,4,105,39,0.0380952380952381
