image_name,timestamp,total_detections,annotated_path,count_ship,count_harbor,count_large-vehicle,count_storage-tank,count_small-vehicle
2020-1.jpg,2025-11-30T21:38:15.685612,28,google_earth_tiled\Port_of_Salalah\2020\annotated\2020-1_annotated.jpg,11,2,11,4,
2020-2.jpg,2025-11-30T21:38:18.001515,32,google_earth_tiled\Port_of_Salalah\2020\annotated\2020-2_annotated.jpg,12,2,12,5,1.0
2020-3.jpg,2025-11-30T21:38:20.066350,17,google_earth_tiled\Port_of_Salalah\2020\annotated\2020-3_annotated.jpg,8,1,3,4,1.0
2020-4.jpg,2025-11-30T21:38:22.104618,25,google_earth_tiled\Port_of_Salalah\2020\annotated\2020-4_annotated.jpg,10,6,5,4,
