image_name,timestamp,total_detections,annotated_path,count_large-vehicle,count_harbor,count_ship,count_storage-tank,count_small-vehicle
2021-1.jpg,2025-11-30T21:38:24.229170,25,google_earth_tiled\Port_of_Salalah\2021\annotated\2021-1_annotated.jpg,5,3,11,6,
2021-2.jpg,2025-11-30T21:38:26.606347,28,google_earth_tiled\Port_of_Salalah\2021\annotated\2021-2_annotated.jpg,1,2,12,12,1.0
