epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4698.16,2.19222,4.45724,0.98905,0.40066,0.53846,0.38762,0.15794,2.01292,4.328,0.9805,0.000643101,0.000643101,0.000643101
43,4807.82,2.18905,4.58793,0.9922,0.3596,0.54909,0.40041,0.16445,1.99228,4.52791,0.9747,0.000628101,0.000628101,0.000628101
44,4919.43,2.20194,4.45208,0.9879,0.40497,0.525,0.40058,0.16341,2.01629,4.40113,0.9785,0.000612981,0.000612981,0.000612981
45,5032.98,2.16448,4.45158,0.99113,0.42104,0.54315,0.4094,0.16869,2.007,4.35837,0.97822,0.000597754,0.000597754,0.000597754
46,5157.64,2.1602,4.51254,0.99171,0.42951,0.53297,0.40532,0.16566,1.99566,4.31649,0.97654,0.000582435,0.000582435,0.000582435
47,5278.04,2.15238,4.37802,0.98478,0.4361,0.56238,0.4206,0.17247,1.99973,4.28066,0.97492,0.00056704,0.00056704,0.00056704
48,5395.86,2.17239,4.40107,0.98346,0.41183,0.56551,0.41234,0.16739,2.00302,4.36948,0.98137,0.000551584,0.000551584,0.000551584
49,5515.23,2.15863,4.40858,0.9894,0.43337,0.5426,0.41913,0.16929,1.9995,4.31562,0.97859,0.000536081,0.000536081,0.000536081
50,5632.11,2.16808,4.42756,0.99003,0.44762,0.55419,0.43888,0.17975,1.99182,4.26433,0.97464,0.000520548,0.000520548,0.000520548
51,5755.89,2.17389,4.41583,0.98496,0.4403,0.53756,0.42939,0.17776,1.99408,4.19907,0.97496,0.000505,0.000505,0.000505
52,5883.54,2.16556,4.40213,0.98447,0.40646,0.54167,0.41022,0.17043,1.97973,4.29235,0.97391,0.000489452,0.000489452,0.000489452
53,6008.07,2.14059,4.38071,0.98452,0.42056,0.54961,0.41681,0.16763,1.98952,4.27857,0.97167,0.000473919,0.000473919,0.000473919
54,6138.23,2.15164,4.39069,0.98445,0.41746,0.55845,0.4068,0.16925,1.97697,4.28757,0.97193,0.000458416,0.000458416,0.000458416
55,6269.16,2.14081,4.37195,0.98929,0.4316,0.57558,0.4166,0.17095,1.98952,4.26038,0.97523,0.00044296,0.00044296,0.00044296
56,6390.01,2.16297,4.3741,0.97789,0.4103,0.54442,0.40699,0.16793,1.97718,4.26046,0.97105,0.000427565,0.000427565,0.000427565
57,6510.83,2.11039,4.28292,0.98009,0.39148,0.57788,0.38859,0.16004,1.98501,4.27633,0.97318,0.000412246,0.000412246,0.000412246
58,6633.47,2.15743,4.33172,0.98208,0.4134,0.58196,0.41894,0.17367,1.96521,4.23243,0.9675,0.000397019,0.000397019,0.000397019
59,6756.63,2.12125,4.31968,0.98333,0.3849,0.55967,0.40127,0.16593,1.96856,4.26417,0.96968,0.000381899,0.000381899,0.000381899
60,6879.17,2.12397,4.25611,0.97846,0.43372,0.5911,0.42953,0.17673,1.98011,4.21072,0.96986,0.000366899,0.000366899,0.000366899
61,6995.44,2.13731,4.26693,0.98025,0.42629,0.58863,0.4161,0.1705,1.97794,4.25947,0.96996,0.000352037,0.000352037,0.000352037
62,7111.41,2.12549,4.28427,0.97548,0.42088,0.5541,0.42932,0.17782,1.96812,4.23302,0.96806,0.000337325,0.000337325,0.000337325
63,7234.49,2.09812,4.1911,0.97902,0.43847,0.59923,0.4409,0.18228,1.97064,4.22149,0.96905,0.000322778,0.000322778,0.000322778
64,7362.36,2.11465,4.22883,0.97946,0.42007,0.58763,0.41868,0.17311,1.96628,4.21131,0.97,0.000308412,0.000308412,0.000308412
65,7494.67,2.11761,4.23776,0.97491,0.4229,0.59132,0.42275,0.17619,1.95822,4.20488,0.96722,0.000294239,0.000294239,0.000294239
66,7642.04,2.11924,4.23433,0.97376,0.42109,0.59298,0.4273,0.17617,1.97119,4.2146,0.9674,0.000280275,0.000280275,0.000280275
67,7790.15,2.11216,4.17399,0.97705,0.40666,0.57425,0.42336,0.17515,1.95629,4.19651,0.96528,0.000266532,0.000266532,0.000266532
68,7921.78,2.11565,4.28217,0.97221,0.43259,0.56533,0.44081,0.18347,1.95673,4.19971,0.96503,0.000253024,0.000253024,0.000253024
69,8050.42,2.10941,4.22812,0.97513,0.46749,0.59716,0.45511,0.19349,1.95496,4.18487,0.96346,0.000239766,0.000239766,0.000239766
70,8174.3,2.12295,4.21169,0.97544,0.42047,0.57389,0.41264,0.17234,1.96917,4.25245,0.96587,0.000226769,0.000226769,0.000226769
71,8294.23,2.12165,4.16914,0.97387,0.44496,0.58893,0.4276,0.17917,1.96185,4.24247,0.96521,0.000214046,0.000214046,0.000214046
72,8404.15,2.10123,4.18715,0.97175,0.39963,0.56242,0.41417,0.17393,1.95232,4.22201,0.96321,0.000201611,0.000201611,0.000201611
73,8513.24,2.09611,4.14199,0.97003,0.41653,0.56018,0.43712,0.18462,1.95421,4.20544,0.96451,0.000189475,0.000189475,0.000189475
74,8622.34,2.09798,4.17435,0.9708,0.40002,0.5975,0.4196,0.1766,1.95354,4.21509,0.96246,0.000177651,0.000177651,0.000177651
75,8731.27,2.09276,4.17852,0.97277,0.42275,0.54848,0.43442,0.18401,1.94279,4.19614,0.96166,0.000166149,0.000166149,0.000166149
76,8840.16,2.09571,4.15912,0.97256,0.42679,0.56394,0.42899,0.17891,1.95771,4.21862,0.96217,0.000154982,0.000154982,0.000154982
77,8949.62,2.08465,4.16888,0.96951,0.42711,0.56128,0.42116,0.17652,1.95072,4.18934,0.96391,0.000144161,0.000144161,0.000144161
78,9058.64,2.09112,4.15752,0.97203,0.42409,0.55836,0.41996,0.17945,1.94399,4.1903,0.96326,0.000133695,0.000133695,0.000133695
79,9168.57,2.08889,4.17175,0.97027,0.39636,0.56842,0.40675,0.17431,1.9461,4.20506,0.96255,0.000123596,0.000123596,0.000123596
80,9278.73,2.09429,4.06762,0.97011,0.43289,0.51856,0.41669,0.17752,1.94948,4.20002,0.96334,0.000113873,0.000113873,0.000113873
81,9387.66,2.09435,4.11532,0.9705,0.41648,0.54712,0.41133,0.17596,1.9459,4.1862,0.96277,0.000104537,0.000104537,0.000104537
82,9496.75,2.09869,4.14727,0.96847,0.40549,0.55162,0.41248,0.17589,1.94096,4.17571,0.96244,9.55951e-05,9.55951e-05,9.55951e-05
83,9605.97,2.09526,4.1281,0.97063,0.41333,0.58714,0.41358,0.17618,1.9456,4.18922,0.96308,8.70577e-05,8.70577e-05,8.70577e-05
84,9716.18,2.08376,4.11931,0.96907,0.42076,0.56218,0.42821,0.18188,1.945,4.17654,0.96155,7.89327e-05,7.89327e-05,7.89327e-05
85,9826.18,2.08123,4.10211,0.96978,0.40607,0.56593,0.41256,0.17712,1.94444,4.18267,0.96252,7.12282e-05,7.12282e-05,7.12282e-05
86,9936.37,2.06239,4.08088,0.96755,0.41212,0.57515,0.41938,0.17832,1.94302,4.17546,0.96189,6.39518e-05,6.39518e-05,6.39518e-05
87,10045.2,2.08381,4.14573,0.97151,0.40048,0.58295,0.41543,0.17725,1.9345,4.18081,0.96026,5.71106e-05,5.71106e-05,5.71106e-05
88,10154.4,2.07571,4.11981,0.96877,0.39287,0.58206,0.41175,0.17489,1.94363,4.18715,0.96185,5.07115e-05,5.07115e-05,5.07115e-05
89,10264.9,2.08517,4.10275,0.97075,0.40365,0.57125,0.40919,0.17342,1.93988,4.19283,0.96246,4.47606e-05,4.47606e-05,4.47606e-05
90,10373.2,2.08145,4.07217,0.96866,0.39978,0.5835,0.4188,0.178,1.93601,4.16835,0.96117,3.9264e-05,3.9264e-05,3.9264e-05
91,10470.2,1.98129,3.93855,0.97183,0.39579,0.58569,0.40809,0.17157,1.95172,4.23128,0.96381,3.4227e-05,3.4227e-05,3.4227e-05
92,10567.6,1.97935,3.92778,0.96838,0.4111,0.54471,0.41049,0.1738,1.94791,4.19762,0.9632,2.96546e-05,2.96546e-05,2.96546e-05
93,10664.8,1.99502,4.05445,0.97469,0.42517,0.50892,0.40971,0.17503,1.94627,4.20909,0.96315,2.55513e-05,2.55513e-05,2.55513e-05
94,10761.8,1.98014,3.91429,0.97241,0.39611,0.55744,0.41469,0.17662,1.9447,4.21052,0.96387,2.19212e-05,2.19212e-05,2.19212e-05
